transaction_id,date,product,category,quantity,unit_price,customer,sales_rep
TXN-2024-0014,2024-04-02,"Laptop Gaming 17""",Electronics,3,1599.99,Gaming World,Sarah Johnson
TXN-2024-0015,2024-04-08,Office Sofa,Furniture,2,899.99,Comfort Spaces,Lisa Martinez
TXN-2024-0016,2024-04-15,Smart Watch Pro,Electronics,15,399.99,Wearable Tech Co,Mike Chen
TXN-2024-0017,2024-04-22,Adjustable Desk,Furniture,5,699.99,Flexible Workspaces,David Wilson
TXN-2024-0018,2024-04-28,Webcam 4K,Electronics,20,179.99,Video Solutions,Sarah Johnson
TXN-2024-0019,2024-05-05,Filing Cabinet,Furniture,12,249.99,Document Systems,Lisa Martinez
TXN-2024-0020,2024-05-12,Gaming Headset,Electronics,30,149.99,E-Sports Arena,Mike Chen
TXN-2024-0021,2024-05-18,Reception Desk,Furniture,1,2199.99,Professional Services,David Wilson
TXN-2024-0022,2024-05-25,External SSD 2TB,Electronics,18,299.99,Data Storage Inc,Sarah Johnson
TXN-2024-0023,2024-06-01,Meeting Chair,Furniture,24,199.99,Conference Solutions,Lisa Martinez
TXN-2024-0024,2024-06-08,Wireless Charger,Electronics,40,79.99,Mobile Accessories,Mike Chen
TXN-2024-0025,2024-06-15,Whiteboard Large,Furniture,8,349.99,Training Centers,David Wilson
TXN-2024-0026,2024-06-22,Projector 4K,Electronics,6,999.99,Presentation Pro,Sarah Johnson
TXN-2024-0027,2024-06-28,Lounge Chair,Furniture,4,599.99,Relaxation Spaces,Lisa Martinez
